property_id,name,address,city,state,zip,asset_type,building_sqft,lot_sqft,year_built,roof_type,roof_age,roof_condition,opportunity_score,estimated_value,last_sale_price,last_sale_date,owner_person_id,owner_company_id,market_id,stories,parking_spaces,occupancy_rate,noi,cap_rate,notes
PR001,Westchase Flex Center,12200 Westheimer Rd,Houston,TX,77077,Flex Industrial,48000,92000,1994,TPO Membrane,18,Poor,88,4200000,3100000,2019-06-15,P012,C010,M001,2,210,0.72,252000,0.06,18-yr roof - hail impact visible - owner under-invested
PR002,North Loop Retail Strip,3400 N Loop W,Houston,TX,77092,Retail Strip,22500,41000,1987,Built-Up,31,Critical,95,2800000,2400000,2017-03-22,P004,C003,M001,1,95,0.68,168000,0.06,31-yr built-up roof - storm claim pending - high opportunity
PR003,Congress Ave Office Suite,800 Congress Ave,Austin,TX,78701,Office,35000,0,2001,Standing Seam Metal,12,Good,42,9800000,8500000,2021-09-10,P001,C001,M002,8,0,0.91,588000,0.06,Class A office - good condition - low opportunity
PR004,Alamo Retail Plaza,1600 NW Loop 410,San Antonio,TX,78213,Retail Strip,31000,65000,1991,Modified Bitumen,22,Fair,74,3600000,2900000,2018-11-30,P004,C003,M003,1,140,0.75,216000,0.06,22-yr mod-bit roof - anchor tenant leaving Q2
PR005,Southpark Industrial,7200 S Congress Ave,Austin,TX,78745,Warehouse,72000,180000,1983,Metal Panels,28,Poor,82,5100000,3800000,2015-07-08,P001,C001,M002,1,320,0.65,306000,0.06,28-yr metal roof - multiple penetrations failing
PR006,Katy Freeway Business Park,24800 Katy Fwy,Katy,TX,77494,Flex Industrial,55000,110000,1998,TPO Membrane,14,Fair,67,6300000,5500000,2020-02-14,P014,C012,M001,2,240,0.83,378000,0.06,Post-Harvey - some deferred maintenance
PR007,McAllen Distribution Center,3800 N 10th St,McAllen,TX,78504,Warehouse,95000,220000,2008,PVC Membrane,11,Good,48,4800000,4200000,2022-05-20,P011,C009,M004,1,450,0.94,288000,0.06,Well-maintained - near border crossing - low opportunity
PR008,Fort Worth Office Commons,5001 Overton Ridge Blvd,Fort Worth,TX,76132,Office,28000,0,1996,Built-Up,24,Poor,78,3200000,2700000,2016-08-19,P007,C006,M005,5,120,0.69,192000,0.06,24-yr built-up - vacancy climbing - storm exposure high
PR009,Plano Corporate Center,4000 W Plano Pkwy,Plano,TX,75093,Office,42000,0,2003,TPO Membrane,9,Good,38,7100000,6800000,2023-01-15,P006,C005,M006,10,180,0.88,426000,0.06,Trust-held - well managed - low opportunity
PR010,Dallas Deep Ellum Mixed Use,3000 Commerce St,Dallas,TX,75226,Mixed Use,18000,24000,1935,EPDM,15,Fair,65,4500000,3900000,2019-12-01,P010,C008,M006,3,40,0.77,270000,0.06,Historic structure - aging EPDM - redevelopment candidate
PR011,New Orleans Warehouse District,900 Magazine St,New Orleans,LA,70130,Warehouse,38000,58000,1920,Metal Panels,6,Fair,55,3300000,2900000,2024-03-10,P015,C013,M007,2,80,0.80,198000,0.06,Post-Ida retrofit - newer roof but aging structure
PR012,Houston Meyerland Retail,4900 Beechnut St,Houston,TX,77096,Retail Strip,16000,32000,1978,Built-Up,38,Critical,98,1900000,1400000,2013-05-28,P003,,,M001,1,70,0.55,114000,0.06,38-yr roof - flood zone - owner absentee - prime target
PR013,Austin Mueller Flex,1900 E 51st St,Austin,TX,78723,Flex Industrial,26000,52000,2000,TPO Membrane,16,Fair,71,3800000,3300000,2020-10-22,P005,C004,M002,1,115,0.86,228000,0.06,Near Mueller redevelopment - aging TPO
PR014,San Antonio Medical Office,8800 Village Dr,San Antonio,TX,78217,Office,19500,0,1995,Modified Bitumen,20,Poor,79,2600000,2100000,2017-06-30,P004,C003,M003,4,90,0.71,156000,0.06,20-yr mod-bit - medical tenant churn - storm-prone zip
PR015,Humble Industrial Park,20200 Eastway Village Dr,Humble,TX,77338,Warehouse,110000,280000,1989,Metal Panels,25,Critical,91,7600000,5900000,2014-09-15,P008,,, M001,1,520,0.60,456000,0.06,25-yr critical metal roof - flood risk - large upside
